Id,V1,V2,Hashtag
1,-21.36259833,10.93708245,tbt
2,-36.33184378,29.30371501,blessed
3,-25.01807631,13.36527083,love
4,-31.69735323,37.77311082,family
5,39.53351645,-3.912908523,TBT
6,-0.608083595,67.70315035,goals
7,40.02075207,-3.330656319,Repost
8,-50.55563774,-19.38760586,sunset
9,-49.81112252,-18.76627337,nofilter
10,-43.72941931,-60.21294866,nyc
11,39.39035115,31.35377057,art
12,42.94299044,29.06205994,music
13,-38.3232464,-61.63268984,NYC
14,74.35531942,-15.82501319,SB50
15,33.3241442,-34.4875134,NBAFinals
16,-6.530370313,-70.77487668,Trump
17,-49.61355871,-30.8165562,summer
18,79.8981375,22.27484261,Rio2016
19,84.5649787,21.66161991,USA
20,-48.87076436,-32.02808867,beach
21,6.879413888,12.24956817,PokemonGO
22,20.21761561,22.37305366,Oscars
23,89.05581894,-17.90958238,SuperBowl
24,-35.14960793,22.30970867,friends
25,-37.85494852,-33.89552494,travel
26,-12.87666131,54.87884673,truth
27,35.37885576,11.23044872,RIP
28,-19.34167023,26.2427903,selfie
29,6.974219354,-17.31335319,HeismanHouse
30,-17.52387968,35.98097027,coffee
31,35.20668636,-37.33945122,NBAFinalsVote
32,38.28041816,-1.782265919,NewProfilePic
33,-52.99433755,-14.50091143,nature
34,30.81759131,-32.38649515,DubNation
35,-50.23608115,-1.963494307,beautiful
36,16.06050959,-17.41637693,KeepPounding
37,-79.86910388,11.38691272,food
38,-28.74259483,27.50162097,happy
39,-34.94756271,22.1546362,fun
40,29.66624837,-31.63727762,ALLin216
41,5.521369821,-17.75999099,Debates
42,-22.84178815,44.70842098,life
43,57.4109514,-66.37930677,WorldSeries
44,17.61875576,-32.11929368,MarchMadness
45,-1.082473211,-24.88010092,NeverForget
46,-37.93302483,-0.351129652,photography
47,5.709224874,-18.14061734,NBC4DC
48,-1.19768054,-48.19071776,BlackLivesMatter
49,20.40385481,46.17158456,sorrynotsorry
50,10.17749956,-21.23726993,NationalChampionship
51,-3.30821769,27.06581896,wcw
52,74.38333214,-16.23608222,SBVote
53,-3.224854619,-69.29128772,debatenight
54,-42.25495436,-37.69403275,vacation
55,-37.22368057,-0.293119176,photo
56,1.030336602,52.24526704,winning
57,-12.16004457,30.8485597,work
58,18.16347169,15.1608352,GameofThrones
59,-1.010423298,59.31480443,mondaymotivation
60,-15.47645278,23.27123297,snapchat
61,9.322227708,72.45892095,fitness
